TIMESTAMP,RECORD,VIN_Min,VIN_Avg,PTemp_C_Avg,AirTC_Avg,RH,CM3Up_Avg,CM3Dn_Avg,CG3Up_Avg,CG3Dn_Avg,CNR1TC_Avg,CNR1TK_Avg,NetRs_Avg,NetRl_Avg,Albedo_Avg,UpTot_Avg,DnTot_Avg,NetTot_Avg,CG3UpCo_Avg,CG3DnCo_Avg,QR_Avg,hfp01sc_Avg,shf_cal,WS_ms_S_WVT,WindDir_D1_WVT,Rain_mm_Tot,DT_Avg,Q_Avg,TCDT_Avg,DBTCDT_Avg,T107_C_1_Avg,T107_C_2_Avg,T107_C_3_Avg,T107_C_4_Avg,T107_C_5_Avg,T107_C_6_Avg,T107_C_7_Avg,T107_C_8_Avg,T107_C_9_Avg,T107_C_10_Avg,VW_1_Avg,PA_uS_1_Avg,VW_2_Avg,PA_uS_2_Avg,VW_3_Avg,PA_uS_3_Avg,VW_4_Avg,PA_uS_4_Avg
6/16/2023 0:00,0,11.69,11.76,20.96,16.11,43.31,395.9,40.2,-88.9,-10.7,17.73,290.9,355.7,-78.19,0.115,307.1,29.5,277.5,317.3,395.5,493.3,4.273364,4.37E-10,0,0,0,NAN,0,NAN,0,NAN,7.037,5.501,3.514,-119.7,-121.5,NAN,NAN,-121.7,NAN,0.847,40.89,0.718,38.27,NAN,NAN,NAN,NAN
6/18/2023 0:00,1,11.66,11.74,13.22,9.66,87.4,397.1,35.74,-62.61,-1.741,10.9,284.1,361.4,-60.87,0.115,334.5,34,300.5,307.9,368.7,528.9,4.26E-10,4.42E-11,0,0,0,NAN,0,NAN,0,NAN,7.677,6.037,5.787,NAN,NAN,NAN,NAN,NAN,NAN,0.846,40.88,0.72,38.31,NAN,NAN,NAN,NAN
6/19/2023 0:00,2,11.67,11.75,18.53,15.45,96.3,331.8,29.53,-51.99,-4.027,16.23,289.4,302.3,-47.96,0.104,279.8,25.5,254.3,347.1,395,453.1,9.66E-10,1.77E-10,0,0,0,NAN,0,NAN,0,NAN,8.61,6.655,7.947,-119.4,NAN,NAN,NAN,NAN,NAN,0.841,40.77,0.718,38.27,0.96,43.05,NAN,NAN
6/20/2023 0:00,3,11.67,11.75,18.4,14.08,96,369.1,36.19,-72.62,-4.72,14.95,288.1,332.9,-67.9,0.134,296.4,31.47,265,320,387.9,474.3,1.244864,1.77E-10,0,0,0,NAN,0,NAN,0,NAN,9.35,7.302,9.14,NAN,NAN,NAN,NAN,NAN,NAN,0.835,40.65,0.715,38.21,0.951,42.89,NAN,NAN
6/21/2023 0:00,4,11.71,11.75,15.09,13,91.7,3.05,1.095,-0.669,-0.089,12.46,285.6,1.955,-0.581,INF,2.381,1.006,1.375,376.8,377.3,4.499,15.27631,14.90091,0,0,3.3,NAN,0,NAN,0,NAN,10.23,7.829,10.48,-119.9,-121.8,NAN,NAN,-121.7,NAN,0.829,40.47,0.711,38.05,0.941,42.63,NAN,NAN
6/30/2023 0:00,5,11.67,11.75,17.6,13.77,87.3,266,28.78,-65.44,-3.542,14.2,287.4,237.2,-61.9,0.148,200.5,25.24,175.3,322.1,384,336,3.036937,0,0,0,0,NAN,0,NAN,0,NAN,12.47,10.39,13.88,-119.4,NAN,NAN,NAN,-121.4,NAN,0.788,39.69,0.71,38.07,0.91,42.08,NAN,NAN
7/1/2023 0:00,6,11.68,11.75,14.75,11.79,95.1,233.4,22.53,-29.04,0.802,12.25,285.4,210.8,-29.84,0.109,204.3,23.33,181,347.5,377.4,307.5,1.61E-10,1.80E-10,0,0,0,NAN,0,NAN,0,NAN,11.88,10.39,13.42,-119.4,NAN,NAN,NAN,NAN,NAN,0.791,39.78,0.71,38.11,0.888,41.7,NAN,NAN
7/3/2023 0:00,7,11.65,11.73,8.39,5.548,91,199.3,19.43,-29.08,2.489,5.907,279.1,179.9,-31.57,0.124,170.2,21.92,148.3,315.4,347,265.4,2.19E-11,0,0,0,0,NAN,0,NAN,0,NAN,10.33,9.74,11.5,NAN,NAN,NAN,NAN,NAN,NAN,0.793,39.83,0.709,38.09,0.877,41.48,NAN,NAN
7/4/2023 0:00,8,11.65,11.74,13.82,10.31,95.7,483.8,46.39,-75.99,-3.114,12.11,285.3,437.4,-72.88,0.133,407.8,43.28,364.6,300.9,373.8,638.6,4.37E-10,4.51E-11,0,0,0,NAN,0,NAN,0,NAN,9.49,8.93,10.18,NAN,NAN,NAN,NAN,NAN,NAN,0.793,39.82,0.71,38.11,0.867,41.3,NAN,NAN
7/5/2023 0:00,9,11.66,11.74,13.33,10.9,97.7,138,13.1,-19.68,0.168,10.94,284.1,124.9,-19.85,0.105,118.3,13.27,105,350.2,370.1,186.9,1.01E-11,0,0,0,0.2,NAN,0,NAN,0,NAN,9.77,8.97,10.57,-119.5,NAN,NAN,NAN,NAN,NAN,0.79,39.76,0.709,38.09,0.861,41.17,NAN,NAN
7/8/2023 0:00,10,11.66,11.74,13.54,10.72,98,194.8,17.57,-15.01,1.724,11.13,284.3,177.2,-16.73,0.111,179.7,19.29,160.5,356,372.7,250.5,2.95E-10,4.51E-11,0,0,2.4,NAN,0,NAN,0,NAN,10.33,9.22,10.75,-115.6,NAN,NAN,NAN,-118.2,NAN,0.788,39.73,0.709,38.08,0.866,41.27,NAN,NAN
7/11/2023 0:00,11,11.65,11.74,13.5,9.92,98.1,406.2,38.73,-60.92,-1.528,11.25,284.4,367.4,-59.39,0.135,345.3,37.21,308,311.8,371.2,544.6,2.19E-10,4.50E-11,0,0,0,NAN,0,NAN,0,NAN,10,9.14,10.68,NAN,NAN,NAN,NAN,NAN,NAN,0.787,39.71,0.708,38.07,0.861,41.18,NAN,NAN
7/12/2023 0:00,12,11.66,11.75,20.02,16.7,94.8,473.9,45.29,-76.35,-7.245,18.31,291.5,428.6,-69.11,0.13,397.6,38.04,359.5,335.2,404.3,641.6,2.06E-10,4.49E-11,0,0,0,NAN,0,NAN,0,NAN,11,9.41,11.34,-118.9,NAN,NAN,NAN,NAN,NAN,0.777,39.5,0.706,38.03,0.843,40.82,NAN,NAN
7/13/2023 0:00,13,11.67,11.76,22.64,19.38,94.9,462.3,42.51,-72.07,-8.15,21.15,294.3,419.8,-63.92,0.117,390.2,34.35,355.8,355.1,419,632.7,1.99E-10,4.02E-10,0,0,0,NAN,0,NAN,0,NAN,12.09,10.05,12.11,-118.4,NAN,NAN,NAN,NAN,NAN,0.766,39.28,0.704,37.98,0.827,40.5,NAN,NAN
7/14/2023 0:00,14,11.67,11.75,16.12,13.68,96.4,146.7,13.94,-23.17,-1.18,13.7,286.9,132.8,-21.99,0.11,123.6,12.76,110.8,361.2,383.2,205,9.90E-11,0,0,0,0.2,NAN,0,NAN,0,NAN,12.6,10.67,12.7,NAN,NAN,NAN,NAN,NAN,NAN,0.754,39.04,0.702,37.94,0.817,40.3,NAN,NAN
7/16/2023 0:00,15,11.67,11.75,17.17,14.63,97.5,132.9,11.87,-17.97,-0.971,14.87,288.1,121,-17,NAN,114.9,10.9,104,372.7,389.7,178.3,2.97E-10,0,0,0,2.7,NAN,0,NAN,0,NAN,11.96,10.6,12.1,-118.2,-120.1,NAN,NAN,-120.3,NAN,0.753,39,0.702,37.93,0.825,40.46,NAN,NAN
7/19/2023 0:00,16,11.67,11.74,11.41,8.56,98.4,27.7,3.436,-1.242,0.267,8.03,281.2,24.26,-1.509,NAN,26.45,3.704,22.75,353.8,355.3,41.13,0.2957638,4.49E-11,0,0,1.8,NAN,0,NAN,0,NAN,12.99,11.29,12.83,-117.9,-120.5,NAN,NAN,-120.7,NAN,0.742,38.75,0.698,37.81,0.824,40.41,NAN,NAN
7/21/2023 0:00,17,11.66,11.75,15.93,13.54,96.7,187,16.46,-16.43,-1.25,14.05,287.2,170.5,-15.18,NAN,170.5,15.21,155.3,370.3,385.4,255.7,1.79E-10,2.09E-10,0,0,15.8,NAN,0,NAN,0,NAN,12.6,11.28,12.6,NAN,-114.8,NAN,NAN,NAN,NAN,0.749,38.91,0.699,37.86,0.869,41.33,NAN,NAN
7/25/2023 0:00,18,11.67,11.74,12.7,10.11,96.6,175.5,15.35,-14.51,1.137,10.28,283.5,160.2,-15.65,NAN,161,16.49,144.5,351.7,367.4,226.9,6.01E-11,4.98E-11,0,0,0.9,NAN,0,NAN,0,NAN,10.81,10.32,11.47,NAN,-111.4,NAN,NAN,NAN,-116.9,0.761,39.18,0.703,37.96,0.927,42.43,NAN,NAN
7/26/2023 0:00,19,11.67,11.75,14.6,11.98,97.6,136.9,11.76,-13.86,1.448,12.11,285.3,125.1,-15.31,NAN,123,13.21,109.8,361.9,377.2,186.5,1.22E-10,4.97E-11,0,0,0,NAN,0,NAN,0,NAN,10.49,9.76,11.08,-107.8,-109,-116,-112.9,-113.6,-114.2,0.758,39.1,0.704,37.99,0.926,42.43,NAN,NAN
7/27/2023 0:00,20,11.67,11.75,16.8,13.82,98,221.3,19.59,-23.55,0.51,14.19,287.4,201.7,-24.06,-7999,197.7,20.1,177.6,363.6,387.6,297.2,3.59E-10,4.96E-11,0,0,0,NAN,0,NAN,0,NAN,11,9.91,11.59,-108.4,-110.3,-115.6,-113.5,-112,-112.8,0.753,39,0.704,37.97,0.924,42.39,NAN,NAN
7/28/2023 0:00,21,11.67,11.75,15.69,12.54,98.5,100.9,10.04,-9.65,-0.875,12.41,285.6,90.9,-8.77,NAN,91.3,9.17,82.1,368.2,377,129.1,1.861604,4.95E-11,0,0,2,NAN,0,NAN,0,NAN,11.78,10.29,12.46,-108,-111,-115.7,-114,-112.5,-113.4,0.746,38.83,0.702,37.9,0.922,42.32,NAN,NAN
7/31/2023 0:00,22,11.67,11.75,16.77,14.42,98.2,186.2,15.98,-17.43,-2.516,14.7,287.9,170.2,-14.92,NAN,168.8,13.47,155.3,372.7,387.6,249.6,3.47E-10,4.95E-11,0,0,7.9,NAN,0,NAN,0,NAN,12.14,10.76,12.84,-109.6,-110.5,-116.4,-114.4,NAN,-114.8,0.742,38.78,0.702,37.94,0.921,42.33,NAN,NAN
8/2/2023 0:00,23,11.67,11.75,18.23,15.52,92.5,207.9,17.45,-23.48,-1.945,15.97,289.2,190.4,-21.53,NAN,184.4,15.51,168.9,373.3,394.8,273.6,4.42E-10,4.44E-10,0,0,0.6,NAN,0,NAN,0,NAN,12.4,11,13.25,-107.4,-108.7,-114.8,-112.5,-112.6,-113,0.741,38.75,0.703,37.95,0.917,42.25,NAN,NAN
8/3/2023 0:00,24,11.68,11.76,22.69,20.1,72.59,374.3,33.24,-63.8,-9.2,21.12,294.3,341.1,-54.59,NAN,310.5,24.03,286.5,362.4,417,526.4,1.66E-10,4.93E-11,0,0,0,NAN,0,NAN,0,NAN,12.87,11.26,13.52,-112.6,-113.6,-118,-116.1,-115.3,-116.2,0.735,38.63,0.702,37.92,0.91,42.11,NAN,NAN
8/5/2023 0:00,25,11.68,11.76,20.28,18.12,98.3,166.9,14.55,-17.8,-2.708,18.18,291.4,152.4,-15.09,NAN,149.1,11.85,137.3,391.1,406.2,231.7,3.83E-10,1.97E-10,0,0,6.8,NAN,0,NAN,0,NAN,13.78,11.88,14.52,-110.6,-112.3,-116.6,-115.3,-113.7,-114.6,0.729,38.51,0.699,37.87,0.898,41.89,NAN,NAN
8/7/2023 0:00,26,11.67,11.75,16.93,14.26,81.1,212.8,17.72,-22.1,-1.716,14.7,287.9,195,-20.38,NAN,190.7,16,174.7,367.8,388.2,279.1,1.47E-10,4.97E-11,0,0,3.7,NAN,0,NAN,0,NAN,13.5,12.11,14.3,-108.8,-109.2,-115.6,-113.2,NAN,-114.1,0.734,38.6,0.698,37.86,0.891,41.76,NAN,NAN
8/8/2023 0:00,27,11.68,11.75,18.33,16.25,77.3,218.7,18.6,-35.38,-5.039,16.45,289.6,200.1,-30.34,NAN,183.3,13.57,169.7,363.9,394.3,305.4,2.29E-10,1.24E-09,0,0,0.2,NAN,0,NAN,0,NAN,13.06,11.89,13.93,-112.2,-113.8,-117.9,-116.5,-114.9,-116,0.735,38.63,0.699,37.87,0.894,41.81,NAN,NAN
8/10/2023 0:00,28,11.68,11.76,23.86,20.95,81.7,342.6,30.59,-52.49,-7.034,21.94,295.1,312,-45.45,NAN,290.1,23.56,266.6,378.3,423.7,479.6,0.01365987,6.74E-10,0,0,0,NAN,0,NAN,0,NAN,13.8,12.08,14.59,-111.8,-113.2,-116.8,-115.6,-114,-114.8,0.725,38.42,0.699,37.87,0.894,41.81,NAN,NAN
8/11/2023 0:00,29,11.68,11.76,21.57,18.51,98.3,322.4,28.82,-40.18,-4.59,19.17,292.3,293.6,-35.59,NAN,282.2,24.23,258,375.2,410.8,453.4,7.72E-10,4.83E-11,0,0,0.4,NAN,0,NAN,0,NAN,14.81,12.72,15.63,-114.1,-116,NAN,-118.4,-116.6,-117.8,0.719,38.29,0.703,37.95,0.888,41.69,NAN,NAN
8/13/2023 0:00,30,11.66,11.75,17.4,15.06,85.3,249.2,22.66,-36.97,-3.772,15.44,288.6,226.5,-33.2,NAN,212.2,18.89,193.3,357.5,390.7,337.8,1.71E-10,4.95E-11,0,0,1.8,NAN,0,NAN,0,NAN,14.38,12.89,15.03,-116.6,-118.6,NAN,NAN,-119,NAN,0.72,38.32,0.701,37.91,0.887,41.68,NAN,NAN
8/14/2023 0:00,31,11.67,11.75,16.87,14.69,97.4,101,8.8,-8.51,-0.383,14.6,287.8,92.2,-8.13,NAN,92.5,8.41,84.1,380.5,388.6,141.7,3.27E-10,3.17E-09,0,0,0.2,NAN,0,NAN,0,NAN,13.48,12.53,13.92,-112.7,-114.6,-118.4,-117.8,-115.5,-116.4,0.723,38.38,0.701,37.92,0.891,41.75,NAN,NAN
8/16/2023 0:00,32,11.67,11.75,17.29,14.66,98.6,141.5,12.54,-17.13,-1.846,14.93,288.1,129,-15.29,NAN,124.4,10.7,113.7,374,389.3,194.6,1.65E-10,1.95E-10,0,0,1.1,NAN,0,NAN,0,NAN,13.22,12.22,13.6,-110.6,-112.9,-116.3,-115.5,-113.8,-114.4,0.721,38.34,0.701,37.91,0.894,41.8,NAN,NAN
8/19/2023 0:00,33,11.66,11.74,13.75,11.52,99.1,147.6,12.95,-16.08,-0.226,11.5,284.7,134.7,-15.86,NAN,131.5,12.72,118.8,356.8,372.6,203,7.01E-11,0,0,0,9,NAN,0,NAN,0,NAN,12.55,11.87,12.94,NAN,-111.9,NAN,NAN,NAN,-115.9,0.724,38.41,0.702,37.93,0.899,41.9,NAN,NAN
8/21/2023 0:00,34,11.65,11.74,10.86,7.671,99.8,238.3,21.07,-37.62,-1.003,8.43,281.6,217.3,-36.61,NAN,200.7,20.07,180.7,320.2,356.8,323.1,1.98E-11,5.02E-11,0,0,0,NAN,0,NAN,0,NAN,11.36,11.09,11.54,-116.2,NAN,NAN,NAN,NAN,NAN,0.728,38.49,0.703,37.97,0.901,41.95,NAN,NAN
